rsi_handle,display,rank,roles,discord_nickname,discord_match_typ,discord_match_prozent
00Gollom,00Gollom,Diamant,,,,
4lex0naut,4lex0naut,Diamant,,,,
4nimu5,4nimu5,Diamant,,,,
99_Stahl,99%_Stahl,Diamant,,,,
A7dr0,Andro,Diamant,,,,
Abji,Abji,Diamant,,,,
Acutus_12,Acutus,Diamant,,,,
Adnoh,Adnoh,Diamant,,,,
advancefly,advancetom,Diamant,,,,
Aelle,Aelle,Diamant,,,,
Agent2222,Agent2222,Diamant,,,,
Agil_Neiles,Agil,Diamant,,,,
Aglais,Aglais,Diamant,Leitung,,,
Aglais-II,Aglais II,Diamant,Leitung,,,
Aglais-III,Aglais III,Diamant,Leitung,,,
Aglais-IV,Aglais IV,Diamant,Leitung,,,
Aglais-V,Aglais V,Diamant,,,,
AGT-1007,AGT-1007,Diamant,,,,
Aiden_Brice,Aiden,Diamant,,,,
AinuMeril,AinuM,Diamant,,,,
AkaliaAyame,AccaliaAyame,Diamant,,,,
Akiraburn,Akiraburn,Diamant,,,,
Akkari1990,Akkari1990,Diamant,,,,
Aknosom,Aknosom,Diamant,,,,
Alex1806,Alex20031,Diamant,,,,
alienaffe1,alienaffe1,Diamant,,,,
AlienDuck,[DMNT]AlienDuck,Diamant,,,,
Alienfresser,YummY,Diamant,,,,
Allan-Anatine,AllanAnatine,Diamant,,,,
Alpha117Wolf,Alpha117Wolf,Diamant,,,,
AlpRush,AlpRush,Diamant,,,,
AlterFritz,AlterFritz,Diamant,,,,
AlwasterBlaster,AlwasterBlaster,Diamant,,,,
Andrahir83,Star Lord,Diamant,,,,
Andreas_68,Beverungen,Diamant,,,,
Andwyn,Andwyn,Diamant,,,,
Anib,Anib,Diamant,,,,
Anoma,Anoma,Diamant,,,,
Antidebilika,Antidebilika,Diamant,,,,
Archibald-Haddock,Archibald-Haddock,Diamant,,,,
arctic305,arctic305,Diamant,,,,
Arellarti,Arellarti,Diamant,,,,
Ares_Samick,Riggs,Diamant,,,,
Arius_the_Outlaw,Arius,Diamant,,,,
Artanika,CalpirazNo,Diamant,,,,
Ascim,Ascim,Diamant,,,,
Astrakalle,Pascal,Diamant,,,,
Astriminator,Astriminator,Diamant,,,,
Ator_GER,Ator_GER,Diamant,,,,
Aturo,Aturo,Diamant,,,,
AuroDri,[I.H.M.] Aurorasoley Driver,Diamant,,,,
Aurora_Silvver,S1lvv3r,Diamant,,,,
AZKq,Ardefy,Diamant,,,,
Azuth75,Azuth75,Diamant,,,,
BackKnight,BackKnight,Diamant,,,,
Backtoheroots,backtotheroots,Diamant,,,,
Bad_Witch,Lea,Diamant,,,,
badwolf,Bad Wolf,Diamant,,,,
Baldrian_Sky,Baldrian_Sky,Diamant,,,,
balton-64,balton-64,Diamant,,,,
Bamguin,Bamguin,Diamant,,,,
Baracuda,Baracuda,Diamant,,,,
Barashhi,Barashhi,Diamant,,,,
Basie013,Basie013,Diamant,,,,
basselmacgee,Bassel MacGee,Diamant,,,,
BavarianPanda,Woipadinga,Diamant,,,,
Baxuz74,Baxuz74,Diamant,,,,
Beandkey_NRW,Beandkey,Diamant,,,,
BeefSlave,BeefSlave,Diamant,,,,
Beetle_Ox,Beetle Ox,Diamant,,,,
BeltenWummler,BeltenWummler,Diamant,,,,
Ben_nok,Ben_nok,Diamant,,,,
BenDT3,bendt3,Diamant,,,,
Bengalo,Bengalo,Diamant,,,,
BenjB1983,Benjamin Buske,Diamant,,,,
benti,benTi,Diamant,,,,
Bermudax,Bermudax,Diamant,,,,
Big_Tasty,BigTasty,Diamant,,,,
bigpuma8417,zeroxx225,Diamant,,,,
Billy-Hill,Billy Hill,Diamant,,,,
Black_Manta,Black Falcon,Diamant,,,,
Blackout_lk,Spacebubble,Diamant,,,,
Blackscorp81,BS81,Diamant,,,,
BlackShadow101,BlackShadow101,Diamant,,,,
Blackspack,Blackspack,Diamant,,,,
BlackSteel82,BlackSteel82,Diamant,,,,
Blue_Claus,Blue Claus,Diamant,,,,
Bobson_Dugnutt,Bobson Dugnutt,Diamant,,,,
boby9000,boby9000,Diamant,,,,
BogusGER,DSF,Diamant,,,,
boiler179,boiler179,Diamant,,,,
Bomberpilot971,Bomberpilot971,Diamant,,,,
Booboobear01,Booboobear,Diamant,,,,
BookSC,BookSC,Diamant,,,,
Borknir,Borknir,Diamant,,,,
Boroo,Boro,Diamant,,,,
Box-8323,Box-8323,Diamant,,,,
Braiti,Braiti,Diamant,,,,
Browny,Browny,Diamant,,,,
BuckyVR6,BuckyVR6,Diamant,,,,
Bug_Skipper,Bug Skipper,Diamant,,,,
BugBar,BugBee,Diamant,,,,
Bullseye112255,Bullseye112255,Diamant,,,,
Bumas,Bumas,Diamant,,,,
Bumsadler,Bumsadler,Diamant,,,,
C4ptAwesome,C4ptAwesome,Diamant,,,,
Calador,Calador,Diamant,,,,
Caleidon-Phoenix,Caleidon-Phoenix,Diamant,,,,
calidrion,Calidrion,Diamant,,,,
Candyzero,Candyzero,Diamant,,,,
Capt_Nuki,Capt.Nuki,Diamant,,,,
Captain_Munchies,Rollo,Diamant,,,,
Captain_Rexx,Charlotte,Diamant,,,,
Captain_Xzan,Xzan,Diamant,,,,
Capybellie,Ellie Daran,Diamant,,,,
CargoDredge,Plevu Krawo,Diamant,,,,
CARP77,CARP77,Diamant,,,,
CashDollar,Cash Dollar,Diamant,,,,
Castra-Citizen,Castra-Citizen,Diamant,,,,
Caurakxoth,Caurakxoth,Diamant,,,,
Ce-Kay,Ce-Kay,Diamant,,,,
Cebb,Cebb,Diamant,,,,
cedric_louis,cedric_louis,Diamant,,,,
Ceran,Ceran Katelo,Diamant,,,,
Cerberud,Cerberud,Diamant,,,,
CeresX,Ceres,Diamant,,,,
ceth85,Ceth,Diamant,,,,
Cetos,Cetos,Diamant,,,,
CG_Solas,CG_Solas,Diamant,,,,
Charlize_Godspeed,Charlize Godspeed,Diamant,,,,
Chewbacca_II,Chewbacca_II,Diamant,,,,
Chillkowski,Chillkowski,Diamant,,,,
Chilly-Vanilly,Cpt. CapsLock,Diamant,,,,
ChrilleA10,Chrille,Diamant,,,,
chris2763,chris2763,Diamant,,,,
chrissix666,chrissix666,Diamant,,,,
CitizenMcPollo,CitizenMcPollo,Diamant,,,,
CitizenNo000,CitizenNo000,Diamant,,,,
Citysnake,Citysnake,Diamant,,,,
ClanBunny,ClanBunny,Diamant,,,,
cleaner6,cleaner6,Diamant,,,,
CMDR_Below,CMDR_Below,Diamant,,,,
CMDR_Dragondarn,CMDR Dragondarn,Diamant,,,,
CMDR_Elight,CMDR_Elight,Diamant,,,,
CMDR_Jam3son,CMDR_Jam3son,Diamant,,,,
COL-Jurten,Tadakuni,Diamant,,,,
Colyvor,Colyvor,Diamant,,,,
CommanderKreusch,CommanderKreusch,Diamant,,,,
CommkiNG,=Twister=,Diamant,,,,
commodore65,commodore65,Diamant,,,,
Conjurerdragon,Conjurerdragon,Diamant,,,,
Copernikus,Dom 1961,Diamant,,,,
Corvale,Corvale,Diamant,,,,
Corviness_Skirge,Corviness &quot;Arclight&quot; Skirge,Diamant,,,,
CorvusLucis,CorvusLucis,Diamant,,,,
Corydoras99,Corydoras99,Diamant,,,,
Cosmonaut-Camille,Cosmonaut-Camille,Diamant,,,,
Cpt_Balu,Gravemind,Diamant,,,,
CPT_Emmett_Brown,Dr Emmett brown,Diamant,,,,
Cpt_Pickles,Troysis,Diamant,,,,
Cpt_Sille,Cpt_Sille,Diamant,,,,
CptCalamari,Cpt.Calamari,Diamant,,,,
CptDiego,Cpt_Diego90,Diamant,,,,
CptHiggs,Biker69,Diamant,,,,
Cptn-Justin,Cptn.Justin,Diamant,,,,
Crankio,Crankio,Diamant,,,,
CrashCow,CrashCow,Diamant,,,,
Creacks,Creacks,Diamant,,,,
Creaper,Creaper87,Diamant,,,,
Creeepr,Creeepr,Diamant,,,,
Creek345,Creek345,Diamant,,,,
Creynox,Creynox,Diamant,,,,
Crossfader217,Cr0ssF4d3r,Diamant,,,,
CryNexXx,CryNexXx,Diamant,,,,
Crypt24,Crypt24,Diamant,,,,
CryptiC_86,Kryptik,Diamant,,,,
CyberCore,CyberCore,Diamant,,,,
Cybermax,James Taggart,Diamant,,,,
CyrionTheFlayed,CyrionTheFlayed,Diamant,,,,
cyvo,cyvo,Diamant,,,,
Cyx1,Cyx,Diamant,,,,
D4rkWolf,DarkWolf,Diamant,,,,
D_y_s,D_y_s,Diamant,,,,
dada73,dada73,Diamant,,,,
DaH0nk,DaH0nk,Diamant,,,,
Dajixx,Dajixx,Diamant,,,,
DanteGG,DanteGG,Diamant,,,,
DarkOrbit,Luckstar,Diamant,,,,
Dashiwang,Dashiwang,Diamant,,,,
Dave_001,Dave_001,Diamant,,,,
Davokh,Davokh,Diamant,,,,
ddsc01,ddsc01,Diamant,,,,
Deadpool_88,Deadpool_88,Diamant,,,,
DeedsOne,Deeds One,Diamant,,,,
Demandreth_Bas-Tyra,Demandreth Bas-Tyra,Diamant,,,,
Demianos,Demianos,Diamant,,,,
Demijurge,Demijurge,Diamant,,,,
Demonplay92,Demonplay92,Diamant,,,,
dennyzet,dennyzet,Diamant,,,,
Der_Philosoph,Priogeth,Diamant,,,,
DerDena,DerDena,Diamant,,,,
DerLorcan,Lorcan,Diamant,,,,
derMosher,[DMNT] der Mosher,Diamant,,,,
Deroxo,Deroxo,Diamant,,,,
derschachmatt,derschachmatt,Diamant,,,,
DerTensa,DerTensa,Diamant,,,,
Devi_n,Devi_n,Diamant,,,,
Devillein,Devillein,Diamant,,,,
Diamant,Diamant,Diamant,,,,
Diavo,Diavo,Diamant,,,,
DieterStahl,Dieter Stahl,Diamant,,,,
Diggi,Diggi,Diamant,,,,
Dimitri8806,Dimitri8806,Diamant,,,,
Django-Freeman,Django Freeman,Diamant,,,,
djannky,[KRT] Djannky,Diamant,,,,
DJB1252,DJB1252,Diamant,,,,
docjONEs,docjONEs,Diamant,,,,
doctor_bong,Doctor Bong,Diamant,,,,
DoctorDudu,Doctor Dudu,Diamant,,,,
DoctorRyk,DoctorRyk,Diamant,,,,
Dol_Jonda_Mandalorian,Dol_Jonda_Mandalorian,Diamant,,,,
Dom2en,[KRT] Domsen,Diamant,,,,
DomKTM,DomKTM,Diamant,,,,
Doomster161,Doomer,Diamant,,,,
Double_Star4,Double_Star4,Diamant,,,,
Dr_F1,Dr_F1,Diamant,,,,
Dr_Helios_Faust,Dr.Faust,Diamant,,,,
Dr_Jani,Dr. Jay Kay,Diamant,,,,
Dragon_Insane,Dragon_Insane,Diamant,,,,
Drakary,Drakary,Diamant,,,,
Drakrai,Drakrai,Diamant,,,,
DrDrej666,Starlord,Diamant,,,,
Dreamer1982,Dreamer1982,Diamant,,,,
Dressler69,Dressler69,Diamant,,,,
DrLeoSpaceman,Dr. Leo Spaceman,Diamant,,,,
DrSnuggles273,DrSnuggles,Diamant,,,,
drunkenbeaver,DrunkenBeaver,Diamant,,,,
DumBa_77,DumBa_77,Diamant,,,,
Dwemerlord,Dwemerlord,Diamant,,,,
e-q-u-i-n-o-x,Equinox,Diamant,,,,
Eddie_Brock_Jr,Eddie_Brock_Jr,Diamant,,,,
EduardLaser1,Tobsi,Diamant,,,,
EgoRandaris,Randaris,Diamant,,,,
EgOVoicE,EgOVoicE,Diamant,,,,
Ein161er,Ein161er,Diamant,,,,
Eislux,Eislux,Diamant,,,,
Eiwy,Eiwy,Diamant,,,,
elektrowixxe23,Nr.23,Diamant,,,,
Elrigo82,[DMNT]Elrigo,Diamant,,,,
Elvis666,Elvis,Diamant,,,,
ElZock,ElZock,Diamant,,,,
Emplitude,Emplitude,Diamant,,,,
englbit,englbit,Diamant,,,,
Enlist,Grey,Diamant,,,,
Enrique09,Enrique09,Diamant,,,,
Entbuchselt,Entbuchselt,Diamant,,,,
Erion,Shadowrunner,Diamant,,,,
Eruvadhoren,Eru,Diamant,,,,
Eurofatzke,Eurofatzke,Diamant,,,,
EuSyroX,EuSyRoX,Diamant,,,,
EviI3ric,EviI3ric,Diamant,,,,
Evokaz,Evokaz,Diamant,,,,
ExplorerXY,ExplorerXY,Diamant,,,,
F3Spirit,F3Spirit,Diamant,,,,
F_i_r_e,Fire,Diamant,,,,
Fahrner,Fahrner,Diamant,,,,
Felbion,Junila,Diamant,,,,
felixklee,Felix Klee,Diamant,,,,
Final5pace,Final5pace,Diamant,,,,
Finkregh,Finkregh,Diamant,,,,
Fireball1978,Fireball1978,Diamant,,,,
Firlefranz,Firlefranz,Diamant,,,,
First_Aid_Kit,First_Aid_Kit,Diamant,,,,
Flee21,Flee,Diamant,,,,
Flitschflatsch,Flitschflatsch,Diamant,,,,
Floly,Floly,Diamant,,,,
Force,Force,Diamant,,,,
Fragoon,Elaaar,Diamant,,,,
Franky62,Franky62,Diamant,,,,
Freebird,Freebird,Diamant,,,,
Friedrich09,Friedrich_:),Diamant,,,,
Frihed1007,Frihed1007,Diamant,,,,
FritzP,Fritz,Diamant,,,,
FunnyBuddys,FunnyBuddys,Diamant,,,,
Fusel_Gambit,Fusel_Gambit,Diamant,,,,
Gabkano,Gabkano,Diamant,,,,
Gelegenheitsheld,Gelegenheitsheld,Diamant,,,,
GenervterGuenther,Guenther,Diamant,,,,
Gerasal,Gerasal,Diamant,,,,
Gewehr_wolf,Gewehr_wolf,Diamant,,,,
GhostRiders,Ghost_Riders9895,Diamant,,,,
Glorator,Glorator,Diamant,,,,
GogoLoris,GogoLoris,Diamant,,,,
Goliath021291,Goliath021291,Diamant,,,,
Gramardy,Gramardy,Diamant,,,,
Grandmaster96,Grandmaster96,Diamant,,,,
Grauer_Rabe,Grauer_Rabe,Diamant,,,,
GrimReaper88,GrimReaper,Diamant,,,,
GrimShad0w,GrimShad0w,Diamant,,,,
grosservogi,Grosser Vogi,Diamant,,,,
gsandrog,Lindrog,Diamant,,,,
Gschwene,Gschwene,Diamant,,,,
gtm,Marc,Diamant,,,,
Guerkchen3004,Blackpool005,Diamant,,,,
Gundha,Gundha,Diamant,,,,
Gunzi84,Gunzi,Diamant,,,,
Gustav_Jung,Gustav_Jung,Diamant,,,,
Gyffes,Gyffes,Diamant,,,,
haarige_Knete,haarige Knete,Diamant,,,,
Hagbard32,Hagbard32,Diamant,,,,
HakkeJoe,HakkeJoe,Diamant,,,,
Hank_GER,Ralf Hank,Diamant,,,,
Hans_Trollo,Hans Trollo,Diamant,,,,
Hanseatic_Ghost,Hanseatic Ghost,Diamant,,,,
Hanz99,Hanz,Diamant,,,,
haoskid,haoskid,Diamant,,,,
HappyDE,Happy,Diamant,,,,
Haribo_Kruppstahlbaerchen,Haribo_Kruppstahlbaerchen,Diamant,,,,
Haschem_Balu,Haschem,Diamant,,,,
Hasenpfote1,Hasenpfote1,Diamant,,,,
Hebebe,Hebebe,Diamant,,,,
heckefraesch,Heckefraesch,Diamant,,,,
Helgator,Sytex,Diamant,,,,
HellionVeil,Joseph Gallager,Diamant,,,,
HexVectora,hex0x,Diamant,,,,
Hibachi,Seraphita,Diamant,,,,
HiksKonari,Hiks,Diamant,,,,
HiraelBHV,Hirael,Diamant,,,,
HoniSoitQuiMalyYPens,Wolf1Alpha1Omega,Diamant,,,,
Hoppensted,Hoppensted,Diamant,,,,
Hordentlich,Hordentlich,Diamant,,,,
Hordika,Hordika,Diamant,,,,
Hoschy2k,Hoschy,Diamant,,,,
Hotzen,plotz,Diamant,,,,
Houdini21,Houdini21,Diamant,,,,
Hovenberg,Hovenberg,Diamant,,,,
howlwolf,Wolf,Diamant,,,,
Hrodbehrt,Hrodbehrt,Diamant,,,,
HTO,Vivien Raid,Diamant,,,,
HueyShadowfire,HueyShadowfire,Diamant,,,,
HuMa892,HuMa892,Diamant,,,,
Husumer,Husumer,Diamant,,,,
HydrawolfXD,Hydrawolf,Diamant,,,,
I_O_I_1_0_1,IOI,Diamant,,,,
iBacchus,iBacchus,Diamant,,,,
Iceonly,Iceonly,Diamant,,,,
IceWlf,IceWlf,Diamant,,,,
Ich_Wars,Ich Wars,Diamant,,,,
ihoa,Ihoa,Diamant,,,,
IllroyGER,Illroy(GER),Diamant,,,,
Iluvartar,Iluvartar,Diamant,,,,
Imhutep2500,Imhutep2500,Diamant,,,,
Inferia,Inferia,Diamant,,,,
Inkuraa,Inkuraa,Diamant,,,,
insomn1a,insomn1a,Diamant,,,,
interents,interents,Diamant,,,,
J0HN-CITIZEN,John Citizen,Diamant,,,,
J0kerMDK,J0kerMDK,Diamant,,,,
J0rd4-n,J0rd4-n,Diamant,,,,
J14lingz,J14lingz,Diamant,,,,
J_Tock,Jack Tock,Diamant,,,,
Jabiru,Jabiru,Diamant,,,,
JackReily,Jack Reily,Diamant,,,,
JackWolfman,Jack Wolfman,Diamant,,,,
Jahuul,Jahuul,Diamant,,,,
Jamba915,Jamba,Diamant,,,,
Jamboo,Jamboo,Diamant,,,,
Jan-Hinnerk,Jan-Hinnerk,Diamant,,,,
Janes77,Janes77,Diamant,,,,
JanSolo_1337,JanSolo_1337,Diamant,,,,
japakue,japakue,Diamant,,,,
JaTyr,Jason Tyrell,Diamant,,,,
Jaxtom-D,Vollstrecker,Diamant,,,,
Jeff-Marxon,Jeff Marxon,Diamant,,,,
JenkinsGamble,Jenkins Gamble,Diamant,,,,
ji11er,ji11er,Diamant,,,,
Jiggawatts,Jiggawatts,Diamant,,,,
JimJace33,JimJace33,Diamant,,,,
Jkb_Brhf,Jkb_Brhf,Diamant,,,,
joe703,joe703,Diamant,,,,
Joe_TN,Joe_TN,Diamant,,,,
Joern_H,Joern_H,Diamant,,,,
John699,John699,Diamant,,,,
JohnnyLong89,Johnnylong89,Diamant,,,,
johnrobie,John.Robie,Diamant,,,,
JohnSwagger,John Swagger,Diamant,,,,
Jolor1991,Jolor,Diamant,,,,
Jonn80,Jonn80,Diamant,,,,
Jorganius,Jorganius,Diamant,,,,
Jorgessen,Jorgessen,Diamant,,,,
jori,Jorin,Diamant,,,,
JSpacer,JSpacer,Diamant,,,,
JT1T4N,JT1T4N,Diamant,,,,
Jugl,Captain Ahab,Diamant,,,,
Jusdie,Feldwebel Diehl,Diamant,,,,
just_ceejay,just_ceejay,Diamant,,,,
JustInto_Fent,JustInto_Fent,Diamant,,,,
K0mpl3X,Kompi,Diamant,,,,
K4m1K4tz3,K4m1K4tz3,Diamant,,,,
k4xn,Kaan2106,Diamant,,,,
KackbratzenKind,Kenneth,Diamant,,,,
KakaoFan,KakaoFan,Diamant,,,,
Karazun,Karazun,Diamant,,,,
KawaiiGalaxy,KawaiiGalaxy,Diamant,,,,
Kazuhira_Miller,Kazuhira_Miller,Diamant,,,,
Keanny90,Keanny90,Diamant,,,,
KeenBockMeer,KeenBockMeer,Diamant,,,,
Kefka,Kefka,Diamant,,,,
KeinPlan1969,Kein_Plan,Diamant,,,,
KENWOODKILA,KENWOODKILA,Diamant,,,,
KevinPlayer,Kevin_Player,Diamant,,,,
khornate,Khornate,Diamant,,,,
Khosh,Khosh,Diamant,,,,
Khrook,Thorn,Diamant,,,,
Kiel_Holen,Kiel Holen,Diamant,,,,
Kiese,Kiese,Diamant,,,,
Killahwurst,Killahwurst,Diamant,,,,
KilledByNpc,Nxah407,Diamant,,,,
KingMuffin,KingMuffin,Diamant,,,,
KiNoHige,KiNoHige,Diamant,,,,
Kirito2712,Kirito2712,Diamant,,,,
kisural,kisural,Diamant,,,,
Klabauter,F4BELH4FT,Diamant,,,,
Klars_Flight,Klars_Flight,Diamant,,,,
Klobrille,Klobrille,Diamant,,,,
Kluntjes,Kluntjes,Diamant,,,,
Kommende_B5000,Kommende_B5000,Diamant,,,,
Komonfugu,Komonfugu,Diamant,,,,
KongOtto,KongoOtto,Diamant,,,,
Kontroller,Kontroller,Diamant,,,,
Kpt_Ceberus,Ceberus,Diamant,,,,
Krautfunder,Krautfunder,Diamant,,,,
Ksteffan,SteffanK,Diamant,,,,
kulturnilpferd,kulturnilpferd,Diamant,,,,
Kxthi741,Kxthi741,Diamant,,,,
Kyrre_Tukson,Kyrre Tukson,Diamant,,,,
L3Xinho,L3Xinho,Diamant,,,,
Laath,Laath,Diamant,,,,
Laberneth,Laberneth,Diamant,,,,
